ar16_index,canonical_esrs,language,official_esrs,official_theme,official_subtheme,official_subtopic,source_publication_id,source_url
1,E1,bg,E1,Изменение на климата,Адаптиране към изменението на климата,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
2,E1,bg,E1,Изменение на климата,Смекчаване на изменението на климата,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
3,E1,bg,E1,Изменение на климата,Енергия,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
4,E2,bg,E2,Замърсяване,Замърсяване на въздуха,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
5,E2,bg,E2,Замърсяване,Замърсяване на водите,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
6,E2,bg,E2,Замърсяване,Замърсяване на почвите,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
7,E2,bg,E2,Замърсяване,Замърсяване на живите организми и хранителните ресурси,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
8,E2,bg,E2,Замърсяване,"Вещества, пораждащи безпокойство",,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
9,E2,bg,E2,Замърсяване,"Вещества, пораждащи сериозно безпокойство",,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
10,E2,bg,E2,Замърсяване,Пластмасови микрочастици,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
11,E3,bg,E3,Водни и морски ресурси,Води,Потребление на вода,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
12,E3,bg,E3,Водни и морски ресурси,Води,Водовземане,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
13,E3,bg,E3,Водни и морски ресурси,Води,Заустване на води,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
14,E3,bg,E3,Водни и морски ресурси,Води,Заустване на води в океаните,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
15,E3,bg,E3,Водни и морски ресурси,Морски ресурси,Добив и използване на морски ресурси,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
16,E4,bg,E4,Биологично разнообразие и екосистеми,Преки фактори за въздействие върху загубата на биологично разнообразие,Изменение на климата,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
17,E4,bg,E4,Биологично разнообразие и екосистеми,Преки фактори за въздействие върху загубата на биологично разнообразие,"Промени в земеползването, промени в използването на сладка вода и промени в използването на моретата",3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
18,E4,bg,E4,Биологично разнообразие и екосистеми,Преки фактори за въздействие върху загубата на биологично разнообразие,Пряка експлоатация,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
19,E4,bg,E4,Биологично разнообразие и екосистеми,Преки фактори за въздействие върху загубата на биологично разнообразие,Инвазивни чуждоземни видове,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
20,E4,bg,E4,Биологично разнообразие и екосистеми,Преки фактори за въздействие върху загубата на биологично разнообразие,Замърсяване,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
21,E4,bg,E4,Биологично разнообразие и екосистеми,Преки фактори за въздействие върху загубата на биологично разнообразие,Други,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
22,E4,bg,E4,Биологично разнообразие и екосистеми,Въздействие върху състоянието на видовете,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
23,E4,bg,E4,Биологично разнообразие и екосистеми,Въздействия върху размера и състоянието на екосистемите,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
24,E4,bg,E4,Биологично разнообразие и екосистеми,Въздействия върху екосистемните услуги и зависимости от тях,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
25,E5,bg,E5,Кръгова икономика,"Входящи потоци от ресурси, включително използване на ресурсите",,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
26,E5,bg,E5,Кръгова икономика,"Изходящи потоци от ресурси, свързани с продукти и услуги",,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
27,E5,bg,E5,Кръгова икономика,Отпадъци,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
28,S1,bg,S1,Собствена работна сила,Условия на труд,Сигурна заетост,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
29,S1,bg,S1,Собствена работна сила,Условия на труд,Работно време,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
30,S1,bg,S1,Собствена работна сила,Условия на труд,Адекватни работни заплати,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
31,S1,bg,S1,Собствена работна сила,Условия на труд,Социален диалог,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
32,S1,bg,S1,Собствена работна сила,Условия на труд,"Свобода на сдружаване, съществуване на работнически съвети и права на работниците на информиране, консултиране и участие",3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
33,S1,bg,S1,Собствена работна сила,Условия на труд,"Колективно договаряне, в това число дял на работниците, обхванати от колективно договаряне",3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
34,S1,bg,S1,Собствена работна сила,Условия на труд,Равновесие между професионалния и личния живот,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
35,S1,bg,S1,Собствена работна сила,Условия на труд,Здраве и безопасност,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
36,S1,bg,S1,Собствена работна сила,Еднакво отношение и еднакви възможности за всички,Равенство между жените и мъжете и равно възнаграждение за еднакъв или равностоен труд,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
37,S1,bg,S1,Собствена работна сила,Еднакво отношение и еднакви възможности за всички,Обучение и развитие на умения,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
38,S1,bg,S1,Собствена работна сила,Еднакво отношение и еднакви възможности за всички,Заетост и приобщаване на хората с увреждания,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
39,S1,bg,S1,Собствена работна сила,Еднакво отношение и еднакви възможности за всички,Мерки срещу насилието и тормоза на работното място,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
40,S1,bg,S1,Собствена работна сила,Еднакво отношение и еднакви възможности за всички,Разнообразие,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
41,S1,bg,S1,Собствена работна сила,Други свързани с работата права,Детски труд,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
42,S1,bg,S1,Собствена работна сила,Други свързани с работата права,Принудителен труд,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
43,S1,bg,S1,Собствена работна сила,Други свързани с работата права,Подходящо жилищно настаняване,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
44,S1,bg,S1,Собствена работна сила,Други свързани с работата права,Неприкосновеност на личния живот,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
45,S2,bg,S2,Работници по веригата на стойността,Условия на труд,Сигурна заетост,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
46,S2,bg,S2,Работници по веригата на стойността,Условия на труд,Работно време,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
47,S2,bg,S2,Работници по веригата на стойността,Условия на труд,Адекватни работни заплати,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
48,S2,bg,S2,Работници по веригата на стойността,Условия на труд,Социален диалог,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
49,S2,bg,S2,Работници по веригата на стойността,Условия на труд,"Свобода на сдружаване, в това число съществуване на работнически съвети",3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
50,S2,bg,S2,Работници по веригата на стойността,Условия на труд,Колективно договаряне,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
51,S2,bg,S2,Работници по веригата на стойността,Условия на труд,Равновесие между професионалния и личния живот,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
52,S2,bg,S2,Работници по веригата на стойността,Условия на труд,Здраве и безопасност,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
53,S2,bg,S2,Работници по веригата на стойността,Еднакво отношение и еднакви възможности за всички,Равенство между жените и мъжете и равно възнаграждение за еднакъв или равностоен труд,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
54,S2,bg,S2,Работници по веригата на стойността,Еднакво отношение и еднакви възможности за всички,Обучение и развитие на умения,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
55,S2,bg,S2,Работници по веригата на стойността,Еднакво отношение и еднакви възможности за всички,Заетост и приобщаване на хората с увреждания,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
56,S2,bg,S2,Работници по веригата на стойността,Еднакво отношение и еднакви възможности за всички,Мерки срещу насилието и тормоза на работното място,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
57,S2,bg,S2,Работници по веригата на стойността,Еднакво отношение и еднакви възможности за всички,Разнообразие,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
58,S2,bg,S2,Работници по веригата на стойността,Други свързани с работата права,Детски труд,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
59,S2,bg,S2,Работници по веригата на стойността,Други свързани с работата права,Принудителен труд,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
60,S2,bg,S2,Работници по веригата на стойността,Други свързани с работата права,Подходящо жилищно настаняване,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
61,S2,bg,S2,Работници по веригата на стойността,Други свързани с работата права,Водоснабдяване и канализация,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
62,S2,bg,S2,Работници по веригата на стойността,Други свързани с работата права,Неприкосновеност на личния живот,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
63,S3,bg,S3,Засегнати общности,"Икономически, социални и културни права на общностите",Подходящо жилищно настаняване,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
64,S3,bg,S3,Засегнати общности,"Икономически, социални и културни права на общностите",Подходяща храна,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
65,S3,bg,S3,Засегнати общности,"Икономически, социални и културни права на общностите",Водоснабдяване и канализация,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
66,S3,bg,S3,Засегнати общности,"Икономически, социални и културни права на общностите","Въздействия, свързани със земята",3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
67,S3,bg,S3,Засегнати общности,"Икономически, социални и културни права на общностите","Въздействия, свързани със сигурността",3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
68,S3,bg,S3,Засегнати общности,Граждански и политически права на общностите,Свобода на изразяване на мнение,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
69,S3,bg,S3,Засегнати общности,Граждански и политически права на общностите,Свобода на събранията,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
70,S3,bg,S3,Засегнати общности,Граждански и политически права на общностите,Въздействие върху защитниците на правата на човека,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
71,S3,bg,S3,Засегнати общности,Права на коренното население,"Доброволно, предварително и информирано съгласие",3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
72,S3,bg,S3,Засегнати общности,Права на коренното население,Самоопределение,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
73,S3,bg,S3,Засегнати общности,Права на коренното население,Културни права,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
74,S4,bg,S4,Потребители и крайни ползватели,Свързани с информацията въздействия върху потребителите и/или крайните ползватели,Неприкосновеност на личния живот,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
75,S4,bg,S4,Потребители и крайни ползватели,Свързани с информацията въздействия върху потребителите и/или крайните ползватели,Свобода на изразяване на мнение,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
76,S4,bg,S4,Потребители и крайни ползватели,Свързани с информацията въздействия върху потребителите и/или крайните ползватели,Достъп до (качествена) информация,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
77,S4,bg,S4,Потребители и крайни ползватели,Лична безопасност на потребителите и/или крайните ползватели,Здраве и безопасност,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
78,S4,bg,S4,Потребители и крайни ползватели,Лична безопасност на потребителите и/или крайните ползватели,Сигурност на лицето,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
79,S4,bg,S4,Потребители и крайни ползватели,Лична безопасност на потребителите и/или крайните ползватели,Закрила на децата,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
80,S4,bg,S4,Потребители и крайни ползватели,Социално приобщаване на потребителите и/или крайните ползватели,Недискриминация,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
81,S4,bg,S4,Потребители и крайни ползватели,Социално приобщаване на потребителите и/или крайните ползватели,Достъп до продукти и услуги,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
82,S4,bg,S4,Потребители и крайни ползватели,Социално приобщаване на потребителите и/или крайните ползватели,Отговорни търговски практики,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
83,G1,bg,G1,Професионално поведение,Култура на предприятието,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
84,G1,bg,G1,Професионално поведение,"Защита на лицата, сигнализиращи за нередности",,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
85,G1,bg,G1,Професионално поведение,Хуманно отношение към животните,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
86,G1,bg,G1,Професионално поведение,Политически ангажимент и дейности по лобиране,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
87,G1,bg,G1,Професионално поведение,"Управление на отношенията с доставчиците, включително платежни практики",,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
88,G1,bg,G1,Професионално поведение,Корупция и подкупи,"Предотвратяване и откриване, включително обучение",3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
89,G1,bg,G1,Професионално поведение,Корупция и подкупи,Произшествия/нарушения,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=bg&productionSystem=cellar&part=
1,E1,cs,E1,Změna klimatu,Přizpůsobování se změně klimatu,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=cs&productionSystem=cellar&part=
2,E1,cs,E1,Změna klimatu,Zmírňování změny klimatu,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=cs&productionSystem=cellar&part=
3,E1,cs,E1,Změna klimatu,Energie,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=cs&productionSystem=cellar&part=
4,E2,cs,E2,Znečištění,Znečištění ovzduší,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=cs&productionSystem=cellar&part=
5,E2,cs,E2,Znečištění,Znečištění vod,,3e901799-1124-11ef-a251-01aa75ed71a1,https://op.europa.eu/o/opportal-service/download-handler?identifier=3e901799-1124-11ef-a251-01aa75ed71a1&format=fmx4&language=cs&productionSystem=cellar&part=
